"city","state","lon","lat"
"Boylston","MA",-71.6875,42.3125
"Brookfield","MA",-72.0625,42.1875
"Charlton","MA",-71.9375,42.1875
"Charlton City","MA",-72.0625,42.0625
"Charlton Depot","MA",-71.9375,42.3125
"Clinton","MA",-71.6875,42.4375
"East Brookfield","MA",-72.0625,42.1875
"Douglas","MA",-71.6875,42.0625
"East Princeton","MA",-71.9375,42.3125
"Fiskdale","MA",-72.0625,42.1875
"Grafton","MA",-71.6875,42.1875
"Holden","MA",-71.8125,42.3125
"Holland","MA",-72.1875,42.0625
"Jefferson","MA",-71.8125,42.3125
"Lancaster","MA",-71.6875,42.4375
"Leicester","MA",-71.9375,42.1875
"Linwood","MA",-71.9375,42.3125
"Manchaug","MA",-71.9375,42.3125
"Millbury","MA",-71.8125,42.1875
"Millville","MA",-71.5625,42.0625
"New Braintree","MA",-72.0625,42.3125
"Northborough","MA",-71.6875,42.3125
"Northbridge","MA",-71.6875,42.1875
"North Brookfield","MA",-72.0625,42.3125
"North Grafton","MA",-71.6875,42.1875
"North Oxford","MA",-71.9375,42.1875
"North Uxbridge","MA",-71.9375,42.3125
"Oxford","MA",-71.8125,42.0625
"Princeton","MA",-71.9375,42.4375
"Rochdale","MA",-71.9375,42.1875
"Rutland","MA",-71.9375,42.4375
"Shrewsbury","MA",-71.6875,42.3125
"Southbridge","MA",-72.0625,42.0625
"South Grafton","MA",-71.6875,42.1875
"South Lancaster","MA",-71.6875,42.4375
"Spencer","MA",-71.9375,42.1875
"Sterling","MA",-71.8125,42.4375
"Sturbridge","MA",-72.0625,42.0625
"Upton","MA",-71.5625,42.1875
"Uxbridge","MA",-71.6875,42.0625
"Webster","MA",-71.8125,42.0625
"Dudley","MA",-71.9375,42.0625
"West Boylston","MA",-71.8125,42.3125
"West Brookfield","MA",-72.1875,42.1875
"West Millbury","MA",-71.9375,42.3125
"Whitinsville","MA",-71.6875,42.0625
"Sutton","MA",-71.8125,42.1875
"Worcester","MA",-71.9375,42.3125
"Cherry Valley","MA",-71.8125,42.1875
"Paxton","MA",-71.9375,42.3125
"Tolland","MA",-72.9375,42.0625
"Framingham","MA",-71.4375,42.3125
"Village Of Nagog Woods","MA",-71.4375,42.5625
"Boxborough","MA",-71.5625,42.4375
"Acton","MA",-71.4375,42.4375
"Ashland","MA",-71.4375,42.3125
"Bedford","MA",-71.3125,42.4375
"Hanscom AFB","MA",-71.3125,42.4375
"Bolton","MA",-71.5625,42.4375
"Carlisle","MA",-71.3125,42.5625
"Concord","MA",-71.3125,42.4375
"Fayville","MA",-71.5625,42.3125
"Holliston","MA",-71.4375,42.1875
"Hopedale","MA",-71.5625,42.1875
"Hopkinton","MA",-71.5625,42.1875
"Hudson","MA",-71.5625,42.4375
"Natick","MA",-71.4375,42.3125
"Marlborough","MA",-71.5625,42.3125
"Maynard","MA",-71.4375,42.4375
"Mendon","MA",-71.5625,42.0625
"Milford","MA",-71.5625,42.1875
"Sherborn","MA",-71.3125,42.1875
"Southborough","MA",-71.5625,42.3125
"Lincoln","MA",-71.3125,42.4375
"Stow","MA",-71.5625,42.4375
"Sudbury","MA",-71.4375,42.4375
"Wayland","MA",-71.3125,42.3125
"Woodville","MA",-71.4375,42.4375
"Woburn","MA",-71.1875,42.4375
"Burlington","MA",-71.1875,42.5625
"Andover","MA",-71.1875,42.6875
"Pinehurst","MA",-71.1875,42.5625
"Billerica","MA",-71.3125,42.5625
"Haverhill","MA",-71.0625,42.8125
"Chelmsford","MA",-71.3125,42.5625
"Dracut","MA",-71.3125,42.6875
"Dunstable","MA",-71.5625,42.6875
"Georgetown","MA",-70.9375,42.6875
"Groveland","MA",-71.0625,42.8125
"Lawrence","MA",-71.1875,42.6875
"Methuen","MA",-71.1875,42.6875
"North Andover","MA",-71.0625,42.6875
"Lowell","MA",-71.3125,42.6875
"Merrimac","MA",-71.0625,42.8125
"North Billerica","MA",-71.3125,42.5625
"North Chelmsford","MA",-71.4375,42.6875
"North Reading","MA",-71.0625,42.5625
"Nutting Lake","MA",-71.4375,42.4375
"Reading","MA",-71.0625,42.5625
"Tewksbury","MA",-71.1875,42.5625
"Tyngsboro","MA",-71.4375,42.6875
"Wakefield","MA",-71.0625,42.5625
"West Boxford","MA",-70.9375,42.6875
"Westford","MA",-71.4375,42.5625
"Wilmington","MA",-71.1875,42.5625
"Winchester","MA",-71.1875,42.4375
"Lynn","MA",-71.0625,42.4375
"Saugus","MA",-71.0625,42.4375
"Swampscott","MA",-70.9375,42.5625
"Nahant","MA",-71.0625,42.4375
"Amesbury","MA",-70.9375,42.8125
"Beverly","MA",-70.9375,42.5625
"Boxford","MA",-71.0625,42.6875
"Byfield","MA",-70.9375,42.8125
"Danvers","MA",-70.9375,42.5625
"Essex","MA",-70.8125,42.6875
"Gloucester","MA",-70.8125,42.5625
"Hamilton","MA",-70.9375,42.6875
"Hathorne","MA",-70.9375,42.6875
"Ipswich","MA",-70.8125,42.6875
"Lynnfield","MA",-71.0625,42.5625
"Manchester","MA",-70.8125,42.5625
"Marblehead","MA",-70.8125,42.5625
"Salem","MA",-70.8125,42.6875
"Middleton","MA",-71.0625,42.5625
"Newburyport","MA",-70.9375,42.8125
"Newbury","MA",-70.9375,42.8125
"Salisbury","MA",-70.9375,42.8125
"Peabody","MA",-70.9375,42.5625
"Prides Crossing","MA",-70.8125,42.5625
"Rockport","MA",-70.8125,42.6875
"Rowley","MA",-70.9375,42.6875
"South Hamilton","MA",-70.8125,42.5625
"Topsfield","MA",-70.9375,42.6875
"Wenham","MA",-70.9375,42.5625
"West Newbury","MA",-70.9375,42.8125
"Accord","MA",-70.6875,41.9375
"Bellingham","MA",-71.4375,42.0625
"Brant Rock","MA",-70.6875,42.0625
"Canton","MA",-71.1875,42.1875
"Cohasset","MA",-70.8125,42.1875
"Dedham","MA",-71.1875,42.1875
